# wxskyfield_stars.dat
#
# An excerpt of the Hipparcos Catalogue (main catalog, hip_main.dat)
# containing the named stars supported by weewx-skyfield and the stars
# forming the constellation line figures of wxskyfield_lines.dat.
#
# Source: The Hipparcos and Tycho Catalogues, ESA SP-1200 (1997).
#         European Space Agency.  Distributed by the Centre de Donnees
#         astronomiques de Strasbourg (CDS) as VizieR catalog I/239:
#         https://cdsarc.cds.unistra.fr/ftp/cats/I/239/hip_main.dat
#
# Licence: CC BY-NC 3.0 IGO
#          (https://creativecommons.org/licenses/by-nc/3.0/igo/).
#          Credit: ESA.
#
# Each data line is an unmodified record from hip_main.dat.
#
H|        2081| |00 26 16.87|-42 18 18.4| 2.40| |G|006.57028075|-42.30512197| |  42.14|  232.76| -353.64|  0.46|  0.56|  0.78|  0.54|  0.82| 0.07|-0.09|-0.29| 0.14|-0.04| 0.12| 0.00|-0.52| 0.29| 0.14|  3| 0.56|  2081| 3.802|0.003| 2.519|0.003| | 1.083|0.016|G|1.11|0.02|A| | 2.5512|0.0005|0.004|125| | 2.54| 2.56|       | | | |00263-4218|I| 1| 1|G| | |  |   |       |     |     |    |S| | |  2261|          |C-42   116|P-42    34|1.11|K0III...    |X 
H|        2247| |00 28 34.52|-16 13 32.8| 9.62| |G|007.14384042|-16.22578934| |  26.64| -354.87| -228.26|  1.10|  0.87|  1.40|  1.50|  0.92| 0.35|-0.03|-0.08|-0.17|-0.01| 0.19|-0.01|-0.15| 0.13| 0.16|  0| 1.41|  2247|11.165|0.053| 9.677|0.023| | 1.128|0.010|G|1.21|0.01|I| | 9.7257|0.0024|0.027|125| | 9.67| 9.78|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |      |B-17   63 |          |          |1.21|K5V         |X 
H|        2484| |00 31 32.56|-62 57 29.1| 4.36| |G|007.88566992|-62.95808549| |  23.35|   82.48|  -54.37|  0.41|  0.42|  0.52|  0.42|  0.47|-0.04| 0.07|-0.15|-0.04| 0.12| 0.07| 0.13| 0.21| 0.05| 0.06|  3| 1.83|  2484| 4.278|0.002| 4.330|0.003| |-0.064|0.009|G|-.02|0.01|L| | 4.3328|0.0012|0.015|140| | 4.25| 4.34|       |D| | |00316-6258|I| 2| 1| | |S|  |   |       |     |     |    |S| | |  2884|          |          |P-63    50|-.02|B9V         |X 
H|        2920| |00 36 58.27|+53 53 49.0| 3.69| |H|009.24277921|+53.89693161| |   5.46|   17.77|   -9.15|  0.40|  0.37|  0.61|  0.42|  0.40|-0.27| 0.23| 0.01| 0.04| 0.08|-0.03| 0.08| 0.15| 0.01|-0.31|  0|-0.52|  2920| 3.431|0.002| 3.647|0.002| |-0.196|0.004|G|-.23|0.03|C| | 3.6112|0.0003|0.004|183| | 3.60| 3.62|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  3360|B+53  105 |          |          |-.23|B2IV        |X 
H|        3092| |00 39 19.60|+30 51 40.4| 3.27| |H|009.83165567|+30.86122579| |  32.19|  115.38|  -83.05|  0.60|  0.48|  0.68|  0.70|  0.51| 0.41|-0.03|-0.05| 0.27|-0.09| 0.07|-0.02| 0.00| 0.25| 0.54|  0| 2.83|  3092| 4.945|0.003| 3.419|0.003| | 1.268|0.040|G|1.23|0.03|C| | 3.4328|0.0005|0.004| 95| | 3.42| 3.44|       |C| | |00393+3052|I| 1| 1| | | |  |   |       |     |     |    |S| | |  3627|B+30   91 |          |          |1.23|K3III...    |X 
H|        3179| |00 40 30.39|+56 32 14.7| 2.24|1|H|010.12661349|+56.53740928| |  14.27|   50.36|  -32.17|  0.31|  0.37|  0.57|  0.33|  0.40|-0.34| 0.21|-0.04|-0.04| 0.02| 0.13| 0.03| 0.28| 0.21|-0.21|  1| 1.66|  3179| 3.768|0.002| 2.377|0.002| | 1.170|0.000|G|1.13|0.00|H| | 2.4107|0.0004|0.005|208| | 2.40| 2.42|       |M| | |00405+5632|I| 1| 1| | | |  |   |       |     |     |    |S| | |  3712|B+55  139 |          |          |1.13|K0II-IIIvar |X 
H|        3419| |00 43 35.23|-17 59 12.1| 2.04|1|G|010.89678452|-17.98668410| |  34.04|  232.79|   32.71|  0.65|  0.51|  0.82|  0.83|  0.54| 0.35|-0.07|-0.03|-0.21| 0.03| 0.07| 0.06|-0.01|-0.24| 0.16|  0|-2.60|  3419| 3.362|0.004| 2.159|0.004| | 1.019|0.021|G|1.00|0.02|A| | 2.2062|0.0008|0.007| 95| | 2.20| 2.23|       |U|2| |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4128|B-18  115 |          |          |1.00|K0III       |4 
H|        3479| |00 44 26.45|-26 30 57.8| 7.78| |G|011.11019153|-26.51604473| |  30.58|  313.52|  150.00|  0.78|  0.77|  1.08|  0.92|  0.78| 0.20|-0.16|-0.36|-0.24|-0.11| 0.27|-0.05|-0.31| 0.21| 0.17|  0| 0.57|  3479| 8.629|0.011| 7.868|0.009| | 0.664|0.004|G|0.73|0.00|H| | 7.9230|0.0017|0.014| 85| | 7.89| 7.95|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4208|          |C-27   223|P-27    56|0.73|G5V         |3 
H|        3760| |00 48 17.34|+07 17 59.7| 5.92| |H|012.07226858|+07.29991977| |   4.93|  111.61|    3.41|  0.70|  0.55|  0.82|  0.70|  0.47| 0.38| 0.25| 0.28| 0.01| 0.13| 0.16| 0.12| 0.15| 0.17| 0.33|  0| 0.56|  3760| 7.345|0.007| 6.043|0.004| | 1.104|0.002|G|1.07|0.04|E| | 6.0874|0.0008|0.005| 76| | 6.08| 6.10|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  4627|B+06  105 |          |          |1.07|G8III       |X 
H|        3821| |00 49 05.10|+57 48 59.6| 3.46|1|H|012.27125262|+57.81654770|A| 167.99| 1087.11| -559.65|  0.44|  0.44|  0.62|  0.44|  0.44|-0.42| 0.04| 0.18|-0.16| 0.19|-0.06| 0.20| 0.02| 0.18|-0.54|  4| 1.86|  3821| 4.158|0.003| 3.520|0.003|A| 0.587|0.003|T|0.66|0.00|L| | 3.5835|0.0024|0.009|229|A| 3.58| 3.63|       |U|2| |00491+5749|I| 2| 2|C| |A|AB|313| 12.490|0.023| 3.78|0.08|S| | |  4614|B+57  150 |          |          |0.65|G0V SB      |G 
